SimulationTime	VehicleID	x	y	speed	angle
1001.00	316	4195.56	2475.49	7.53	261.01
1001.00	469	3208.56	2152.73	14.76	2.30
1001.00	370	3421.07	2334.76	11.92	247.12
1001.00	486	4305.09	2398.53	14.30	185.03
1001.00	367	2845.26	1551.25	6.90	252.73
1001.00	417	3325.34	1569.37	12.52	268.29
1001.00	418	3873.46	1588.12	11.39	269.77
1001.00	452	2784.66	2059.98	8.72	264.79
1001.00	446	4034.75	2263.84	6.06	101.24
1001.00	451	3753.65	1601.36	7.25	6.64
1001.00	444	4148.98	1584.99	13.47	268.38
1001.00	498	4475.04	2359.68	9.91	288.20
1001.00	462	3148.36	1685.67	15.78	353.21
1001.00	477	3833.45	1563.83	16.23	88.17
1001.00	441	3640.78	2391.47	14.18	186.46
1001.00	489	3594.21	1546.99	15.51	88.15
1001.00	412	2893.45	1852.85	7.58	304.75
1001.00	479	3953.96	1551.27	13.40	88.66
1001.00	448	3153.00	1650.41	17.11	351.59
1001.00	429	2564.58	1846.83	12.70	154.53
1001.00	434	4761.72	1590.83	0.00	88.74
1001.00	487	3966.73	2486.38	7.83	314.10
1001.00	499	2770.98	1523.99	16.53	88.18
1001.00	404	3147.67	1734.15	14.46	357.48
1001.00	470	3621.65	2095.45	10.35	274.03
1001.00	443	3343.46	1947.73	6.95	98.34
1001.00	491	4425.23	2116.57	10.54	109.31
1001.00	432	3846.27	2599.89	8.26	311.44
1001.00	420	4062.43	2590.26	25.19	15.37
1001.00	430	2979.37	2340.42	6.55	98.27
1001.00	493	4068.79	1974.09	12.83	124.95
1001.00	488	3614.32	1253.92	16.08	300.08
1001.00	492	3388.46	1593.61	7.46	180.69
1001.00	442	3523.83	2363.42	12.19	52.70
1001.00	482	2652.62	2291.01	12.49	82.96
1001.00	335	3305.66	2455.20	0.24	208.19
1001.00	461	3009.10	2295.84	9.43	89.37
1001.00	455	3132.86	1853.79	13.38	192.06
1001.00	359	4393.15	1562.18	5.53	97.11
1001.00	450	3402.14	2308.45	12.02	76.34
1001.00	449	3504.03	2343.61	11.26	92.58
1001.00	413	3466.87	1574.23	12.64	267.54
1001.00	475	4633.68	1969.94	12.70	199.00
1001.00	497	2997.51	2411.41	7.06	210.99
1001.00	464	3143.27	1702.74	12.54	355.12
1001.00	468	3965.53	2050.74	13.97	127.18
1001.00	421	4776.72	1591.16	0.00	88.71
1001.00	416	3489.42	1575.20	12.52	267.54
1001.00	366	3434.25	1562.98	13.88	268.32
1002.00	478	3647.27	1538.80	3.17	0.50
1002.00	436	4336.78	1573.25	15.85	88.19
1002.00	481	3877.00	1932.42	13.02	6.24
1002.00	467	3844.42	1609.23	9.81	171.98
1002.00	425	4754.22	1590.66	0.00	88.74
1002.00	437	2720.43	1558.30	9.98	181.79
1002.00	466	3190.50	2315.11	13.16	269.30
1002.00	495	3260.32	1871.63	8.53	314.90
1002.00	409	3861.43	1742.78	11.28	8.29
1002.00	457	2678.69	1848.25	2.38	195.14
1002.00	485	3027.75	2488.78	11.89	102.60
1002.00	435	4137.54	2180.61	2.56	21.30
1002.00	348	4442.07	1753.08	3.37	53.71
1002.00	445	4769.22	1590.99	0.00	88.74
1002.00	483	2992.36	1528.28	13.22	87.92
1002.00	458	3728.03	1480.31	4.78	4.87
1002.00	476	4545.00	1612.97	14.35	267.32
1002.00	484	3922.45	1550.54	14.43	88.49
1002.00	465	4266.99	1945.62	20.88	178.57
1002.00	456	4457.71	1596.60	17.09	267.22
1002.00	403	4026.42	2265.50	6.76	101.24
1002.00	440	3325.24	1798.94	6.86	5.35
1002.00	424	4215.37	1870.82	14.99	123.88
1002.00	494	3309.19	2464.56	4.82	328.95
1002.00	490	4300.63	2417.13	0.00	93.76
1002.00	428	3916.78	1578.27	16.00	268.08
1002.00	414	3357.37	1560.73	17.78	268.32
1002.00	474	3354.79	2548.86	14.53	156.39
1002.00	473	3971.57	1548.48	11.88	88.66
1002.00	381	3145.00	1758.37	12.04	2.79
1002.00	427	3872.26	2119.88	13.09	140.62
1002.00	316	4189.24	2474.49	6.40	261.01
1002.00	469	3212.25	2166.15	14.28	4.07
1002.00	370	3409.55	2329.90	12.78	247.15
1002.00	486	4303.83	2384.16	14.43	185.03
1002.00	367	2837.17	1548.54	8.52	250.95
