SimulationTime	VehicleID	x	y	speed	angle
1001.00	PKW4438	1916.05	1417.46	13.89	207.76
1001.00	PKW3886	2341.05	2679.46	6.50	270.61
1001.00	PKW5058	2279.83	2218.68	13.89	312.48
1001.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1001.00	PKW4732	1932.91	2562.21	13.89	20.30
1001.00	PKW5423	2838.83	2189.56	0.00	21.07
1001.00	PKW5416	1497.72	638.20	13.89	120.00
1001.00	PKW5472	2426.20	1935.34	0.59	337.02
1001.00	PKW5241	2331.02	959.83	13.89	287.69
1001.00	PKW4982	3037.04	725.57	13.89	104.88
1001.00	PKW4035	1291.76	1362.17	1.30	320.43
1001.00	PKW4877	2806.04	2437.10	0.00	178.68
1001.00	PKW4141	393.63	1057.57	13.89	267.77
1001.00	PKW4816	1585.31	1148.24	13.89	298.14
1001.00	PKW4966	1977.91	2662.58	7.77	25.47
1001.00	routeFlow_bus34Hc.1	2548.96	1315.06	8.29	169.85
1001.00	PKW5291	2888.42	2290.33	13.89	331.18
1001.00	PKW5361	2603.66	2528.74	13.89	129.77
1001.00	PKW4829	2885.78	2232.22	13.89	159.07
1001.00	PKW4213	1737.32	2869.07	13.89	308.46
1001.00	PKW4866	2061.24	1040.95	1.96	280.28
1001.00	PKW5190	2566.13	2017.76	13.89	262.21
1001.00	PKW4624	3733.45	1939.82	13.89	93.65
1001.00	PKW5340	2321.84	1919.73	13.89	237.01
1001.00	PKW5522	2810.56	2209.81	0.00	128.55
1001.00	PKW5085	2269.64	986.54	13.89	288.14
1001.00	PKW4891	1814.69	518.24	13.89	116.23
1001.00	PKW4310	1940.33	2582.26	13.89	20.30
1001.00	PKW3764	1099.99	1986.02	13.89	345.61
1001.00	PKW4944	1478.25	1137.08	0.00	199.12
1001.00	PKW5192	2334.67	962.03	13.89	287.69
1001.00	PKW5328	2623.83	852.93	0.00	226.76
1001.00	PKW4760	2450.75	896.82	13.89	110.12
1001.00	PKW4948	1868.89	2359.67	6.50	190.66
1001.00	PKW5532	1378.41	1881.99	0.00	4.50
1001.00	PKW5016	2208.74	461.39	0.00	212.23
1001.00	PKW5331	2725.78	811.25	13.89	103.81
1001.00	PKW4968	2840.77	2256.34	13.89	198.93
1001.00	LKW237	1809.07	1048.44	0.00	253.31
1001.00	PKW4992	1746.50	1852.24	1.69	288.41
1001.00	PKW5338	1883.28	2044.73	13.89	324.60
1001.00	LKW223	2855.57	2225.81	0.00	15.66
1001.00	PKW5031	1526.52	1171.46	13.89	304.06
1001.00	PKW4970	1411.38	1221.60	6.14	152.23
1001.00	PKW5445	1974.22	2710.96	7.80	197.60
1001.00	PKW5527	1358.20	3149.79	13.89	128.46
1001.00	PKW4849	2693.06	2034.57	13.89	261.91
1001.00	PKW4861	2061.82	1044.10	1.96	280.28
1001.00	PKW4663	1733.73	1080.00	11.83	271.03
1001.00	PKW5473	2530.37	586.27	8.72	291.56
1001.00	PKW3777	2340.02	2682.66	10.40	270.58
1001.00	PKW4799	2613.87	881.48	0.00	189.51
1001.00	PKW5050	1645.50	1879.98	7.80	100.24
1001.00	PKW4840	2822.15	2564.92	13.89	358.75
1001.00	PKW4792	1484.86	651.71	0.00	280.25
1001.00	PKW5077	2805.17	2474.59	0.00	178.68
1001.00	PKW4436	1716.39	1862.26	4.01	288.41
1001.00	PKW5261	1871.40	2746.20	13.89	128.46
1001.00	PKW4904	2823.55	2500.76	13.89	358.75
1001.00	PKW5499	1079.38	1976.22	13.85	165.61
1001.00	PKW4890	1786.11	1838.99	0.00	281.03
1001.00	PKW4146	2047.22	1724.55	11.41	112.63
1001.00	PKW5229	2832.53	783.22	13.89	104.88
1001.00	PKW4710	3712.31	1944.38	13.89	93.65
1002.00	PKW5354	2504.51	593.45	0.00	295.90
1002.00	PKW4544	2909.12	2177.65	13.89	146.70
1002.00	PKW4859	1865.10	2339.52	6.50	190.66
1002.00	PKW4964	1757.83	1848.34	5.20	312.33
1002.00	PKW3876	2564.69	1254.89	0.00	353.34
1002.00	PKW4405	2844.39	2300.51	0.00	144.95
1002.00	PKW5518	2618.40	951.33	0.00	136.07
1002.00	PKW4888	2693.04	2497.37	13.89	308.66
1002.00	PKW4848	1927.13	2555.79	13.89	20.30
1002.00	LKW277	2642.63	826.73	13.89	106.74
1002.00	PKW4268	2561.00	1321.67	5.20	351.70
1002.00	PKW4717	1431.12	696.07	13.89	309.33
1002.00	PKW5223	1761.39	582.77	0.00	298.14
1002.00	PKW5076	2802.16	2466.49	0.00	178.68
1002.00	PKW5136	2780.22	2102.84	12.50	200.07
1002.00	PKW5542	2542.35	2580.56	13.89	131.76
1002.00	PKW4438	1907.01	1407.13	13.89	212.79
1002.00	PKW3886	2333.52	2679.52	7.80	270.50
1002.00	PKW5058	2269.15	2227.60	13.89	309.87
1002.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1002.00	PKW4732	1937.73	2575.23	13.89	20.30
1002.00	PKW5423	2838.83	2189.56	0.00	21.07
1002.00	PKW5416	1509.87	631.58	13.89	118.61
1002.00	PKW5472	2426.20	1935.34	0.00	337.02
1002.00	PKW5241	2317.78	964.05	13.89	287.69
1002.00	PKW4982	3050.47	722.01	13.89	104.88
1002.00	PKW4035	1289.39	1365.26	3.90	322.58
1002.00	PKW4877	2806.04	2437.10	0.00	178.68
1002.00	PKW4141	379.75	1057.03	13.89	267.77
1002.00	PKW4816	1573.06	1154.79	13.89	298.14
1002.00	PKW4966	1982.38	2671.96	10.37	25.51
1002.00	routeFlow_bus34Hc.1	2549.34	1306.12	8.97	176.20
1002.00	PKW5291	2881.27	2302.42	13.89	327.53
1002.00	PKW5361	2614.33	2519.86	13.89	129.77
1002.00	PKW4829	2890.74	2219.25	13.89	159.07
1002.00	PKW4213	1726.45	2877.71	13.89	308.46
1002.00	PKW4866	2061.24	1040.95	0.00	280.28
1002.00	PKW5190	2552.35	2015.83	13.89	261.73
1002.00	PKW4624	3747.31	1938.94	13.89	93.65
1002.00	PKW5340	2310.56	1911.66	13.89	234.08
1002.00	PKW5522	2810.56	2209.81	0.00	128.55
1002.00	PKW5085	2256.44	990.87	13.89	288.15
1002.00	PKW4891	1827.13	512.12	13.89	116.23
1002.00	PKW4310	1946.49	2594.56	13.89	37.78
1002.00	PKW3764	1096.54	1999.47	13.89	345.61
1002.00	PKW4944	1478.25	1137.08	0.00	199.12
1002.00	PKW5192	2321.44	966.25	13.89	287.69
1002.00	PKW5328	2623.83	852.93	0.00	226.76
1002.00	PKW4760	2463.79	892.04	13.89	110.12
1002.00	PKW4948	1867.69	2353.28	6.50	190.66
1002.00	PKW5532	1378.41	1881.99	0.00	4.50
1002.00	PKW5016	2208.74	461.39	0.00	212.23
1002.00	PKW5331	2739.27	807.93	13.89	103.81
1002.00	PKW4968	2836.26	2243.20	13.89	198.93
1002.00	LKW237	1809.07	1048.44	0.00	253.31
1002.00	PKW4992	1744.31	1852.96	2.31	288.41
1002.00	PKW5338	1876.81	2056.64	13.89	334.67
1002.00	LKW223	2855.57	2225.81	0.00	15.66
1002.00	PKW5031	1515.45	1179.79	13.89	309.63
1002.00	PKW4970	1407.31	1217.30	6.14	229.41
1002.00	PKW5445	1971.35	2701.00	10.40	194.85
1002.00	PKW5527	1369.08	3141.15	13.89	128.46
1002.00	PKW4849	2679.29	2032.61	13.89	261.91
1002.00	PKW4861	2061.82	1044.10	0.00	280.28
1002.00	PKW4663	1721.25	1082.27	13.02	281.56
1002.00	PKW5473	2526.45	587.82	4.22	291.56
1002.00	PKW3777	2334.28	2682.71	5.93	270.50
1002.00	PKW4799	2613.87	881.48	0.00	189.51
1002.00	PKW5050	1653.29	1875.19	9.10	125.86
1002.00	PKW4840	2821.84	2578.81	13.89	358.75
1002.00	PKW4792	1482.28	652.02	2.60	277.44
1002.00	PKW5077	2805.17	2474.59	0.00	178.68
1002.00	PKW4436	1711.69	1863.83	4.95	288.41
1002.00	PKW5261	1882.28	2737.56	13.89	128.46
1002.00	PKW4904	2823.25	2514.65	13.89	358.75
1002.00	PKW5499	1082.82	1962.79	13.86	165.61
1002.00	PKW4890	1786.11	1838.99	0.00	281.03
1002.00	PKW4146	2056.70	1720.93	10.11	110.92
1002.00	PKW5229	2845.95	779.65	13.89	104.88
1002.00	PKW4710	3726.17	1943.50	13.89	93.65
1003.00	PKW5354	2504.51	593.45	0.00	295.90
1003.00	PKW4544	2916.80	2165.97	13.89	146.70
1003.00	PKW4859	1863.41	2330.52	9.10	190.48
1003.00	PKW4964	1752.52	1850.23	5.65	288.41
1003.00	PKW3876	2564.69	1254.89	0.00	353.34
1003.00	PKW4405	2844.39	2300.51	0.00	144.95
1003.00	PKW5518	2618.40	951.33	0.00	136.07
1003.00	PKW4888	2682.18	2506.06	13.89	308.66
1003.00	PKW4848	1931.95	2568.81	13.89	20.30
1003.00	LKW277	2655.93	822.73	13.89	106.74
1003.00	PKW4268	2559.21	1329.19	7.80	343.77
1003.00	PKW4717	1420.37	704.88	13.89	309.33
1003.00	PKW5223	1761.39	582.77	0.00	298.14
1003.00	PKW5076	2802.16	2466.49	0.00	178.68
1003.00	PKW5136	2774.98	2090.62	13.26	208.34
1003.00	PKW5542	2552.70	2571.32	13.89	131.76
1003.00	PKW4438	1900.46	1394.98	13.89	209.57
1003.00	PKW3886	2324.52	2679.57	9.00	270.31
1003.00	PKW5058	2257.95	2235.86	13.89	305.60
1003.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1003.00	PKW4732	1942.54	2588.25	13.89	20.30
1003.00	PKW5423	2838.83	2189.56	0.00	21.07
1003.00	PKW5416	1522.02	624.95	13.89	118.61
1003.00	PKW5472	2426.20	1935.34	0.00	337.02
